type of house,location,price,bedrooms,bathrooms,toilets,parking_space
4 bedroom terraced duplex for sale,"Ikate, Ikate, Lekki, Lagos","₦400,000,000",4.0,4.0,5.0,
Residential land for sale,"Extension, Asokoro District, Abuja","₦1,100,000,000",,,,20.0
3 bedroom detached bungalow for sale,"No. 472, Gana Street, Efab Queen Estate, Gwarinpa, Abuja","₦140,000,000",3.0,3.0,4.0,3.0
3 bedroom flat / apartment for sale,"Victoria Island (VI), Lagos","₦300,000,000",3.0,3.0,4.0,2.0
4 bedroom terraced duplex for sale,"Bera Estate By Chevron Drive, Lekki, Lagos","₦165,000,000",4.0,4.0,5.0,
4 bedroom house for sale,"Ajah, Lagos","₦190,000,000",4.0,4.0,5.0,2.0
Block of flats for sale,"Nnpc Bustop, Ikotun, Lagos","₦26,000,000",,,,
5 bedroom detached duplex for sale,"Cluster B Seman Estate, Lugbe District, Abuja","₦180,000,000",5.0,5.0,6.0,3.0
6 bedroom terraced duplex for sale,"Behind Belavue Estate Phase 3, Life Camp, Abuja","₦350,000,000",6.0,6.0,6.0,3.0
Commercial land for sale,"Obafemi Owode, Obafemi Owode, Ogun","₦3,500,000,000",,,,
1 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","₦180,000,000",1.0,1.0,2.0,1.0
4 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦450,000,000",4.0,4.0,5.0,2.0
4 bedroom house for sale,"Periwinkle Estate, Freedom Way, Lekki Phase 1, Lekki, Lagos","₦600,000,000",4.0,4.0,5.0,2.0
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦1,100,000,000",5.0,5.0,6.0,
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦550,000,000",5.0,5.0,6.0,
5 bedroom detached duplex for sale,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","₦900,000,000",5.0,6.0,6.0,
5 bedroom detached duplex for sale,"Lekki Phase 2, Lekki, Lagos","₦850,000,000",5.0,5.0,6.0,
5 bedroom detached duplex for sale,"Pinnock Beach Estate, Osapa, Lekki, Lagos","₦600,000,000",5.0,5.0,6.0,4.0
5 bedroom detached duplex for sale,"This Mansion Comes With Olympic Sized Pool,private Elevator, VGC, Lekki, Lagos","₦900,000,000",5.0,5.0,6.0,6.0
5 bedroom house for sale,"VGC, Lekki, Lagos","₦900,000,000",5.0,5.0,6.0,3.0
5 bedroom detached duplex for sale,"Ologolo, Lekki, Lagos","₦360,000,000",5.0,5.0,6.0,
3 bedroom flat / apartment for sale,"Old Ikoyi, Ikoyi, Lagos","₦11,000,000,000",3.0,3.0,4.0,2.0
4 bedroom detached bungalow for sale,"7th Avenue, Off Obele Road, Badagry Expressway, Magbon, Badagry, Lagos","₦34,000,000",4.0,4.0,5.0,4.0
4 bedroom semi-detached duplex for sale,"Ajah, Lagos","₦120,000,000",4.0,4.0,5.0,
3 bedroom flat / apartment for sale,"Bush Street, Maryland, Lagos","₦200,000,000",3.0,3.0,4.0,2.0
2 bedroom flat / apartment for sale,"Bush Street, Maryland, Lagos","₦170,000,000",2.0,2.0,3.0,2.0
5 bedroom detached duplex for sale,"This Home Comes With A Private Cinema, Chevron Toll Gate, Orchid Road, Lekki, Lagos","₦340,000,000",5.0,5.0,6.0,4.0
1 bedroom mini flat (room and parlour) for sale,"Ajah, Lagos","₦27,000,000",1.0,1.0,2.0,
3 bedroom flat / apartment for sale,"Lekki Phase 1 To 2nd Toll Gate, Lekki, Lagos","₦65,000,000",3.0,3.0,4.0,
5 bedroom detached duplex for sale,"Lekki, Lagos","₦730,000,000",5.0,5.0,6.0,
2 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","₦250,000,000",2.0,2.0,3.0,
Residential land for sale,"Lekki Phase 1, Lekki, Lagos","₦750,000,000",,,,
2 bedroom flat / apartment for sale,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦190,000,000",2.0,2.0,3.0,
5 bedroom detached duplex for sale,"Lekki Phase 2, Lekki, Lagos","$1,000,000",5.0,5.0,6.0,
5 bedroom detached duplex for sale,"Lekki Phase 2, Lekki, Lagos","₦350,000,000",5.0,5.0,6.0,
3 bedroom detached duplex for sale,"GRA, Isheri North, Lagos","₦160,000,000",3.0,3.0,4.0,4.0
5 bedroom detached duplex for sale,"Lekki County Homes Megamound Estate, Ikota, Lekki, Lagos","₦380,000,000",5.0,,,
2 bedroom flat / apartment for sale,"Ikate Lekki Lagos, Ikate, Lekki, Lagos","₦180,000,000",2.0,3.0,3.0,5.0
Residential land for sale,"Lai Fafowora Close, GRA Phase 2, Magodo, Lagos","₦100,000,000",,,,
3 bedroom flat / apartment for sale,"Ogudu, Lagos","₦150,000,000",3.0,,,
3 bedroom flat / apartment for sale,"By Firs Jabi, Dakibiyu, Abuja","₦62,000,000",3.0,4.0,4.0,2.0
3 bedroom terraced duplex for sale,"In A Gated And Secured Estate, Ajah, Lagos","₦80,000,000",3.0,3.0,4.0,2.0
5 bedroom detached duplex for sale,"Lekki, Lagos","₦400,000,000",5.0,5.0,5.0,4.0
Land for sale,"Lekki Gardens Phase 2, Ajah, Lagos","₦50,000,000",,,,
4 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦250,000,000",4.0,4.0,5.0,2.0
Land for sale,"Abraham Adesanya Estate, Ajah, Lagos","₦1,700,000,000",,,,
4 bedroom detached duplex for sale,"Ajah, Lagos","₦150,000,000",4.0,4.0,4.0,2.0
4 bedroom terraced duplex for sale,"By Mobile Filling Station, Gaduwa, Abuja","₦100,000,000",4.0,4.0,4.0,3.0
4 bedroom semi-detached duplex for sale,"In A Gated And Secured Estate, Ajah, Lagos","₦12,000,000",4.0,4.0,5.0,3.0
3 bedroom detached bungalow for sale,"Ogooluwa Behind Gof, Osogbo, Osun","₦60,000,000",3.0,,,
5 bedroom detached duplex for sale,"Ikeja GRA, Ikeja, Lagos","₦700,000,000",5.0,5.0,6.0,5.0
6 bedroom detached duplex for sale,"Ogba, Ikeja, Lagos","₦500,000,000",6.0,,,
5 bedroom detached duplex for sale,"Adeniyi Jones, Ikeja, Lagos","₦350,000,000",5.0,,6.0,
4 bedroom detached duplex for sale,"Opic, Isheri North, Lagos","₦250,000,000",4.0,4.0,5.0,3.0
5 bedroom detached duplex for sale,"Lakeview Estate, Orchid, Lafiaji, Lekki, Lagos","₦215,000,000",5.0,6.0,6.0,5.0
3 bedroom terraced duplex for sale,"Ikota, Lekki, Lagos","₦65,000,000",3.0,3.0,4.0,4.0
3 bedroom terraced duplex for sale,"Ikota, Lekki, Lagos","₦75,000,000",3.0,3.0,3.0,
5 bedroom detached duplex for sale,"Lekky County, By Megamond Estate, Ikota, Lekki, Lagos","₦410,000,000",5.0,5.0,6.0,5.0
2 bedroom flat / apartment for sale,"Ikate, Lekki, Lagos","₦200,000,000",2.0,2.0,3.0,2.0
2 bedroom flat / apartment for sale,"Ikate, Lekki, Lagos","₦150,000,000",2.0,2.0,3.0,2.0
3 bedroom flat / apartment for sale,"Ikate, Lekki, Lagos","₦185,000,000",3.0,3.0,4.0,2.0
4 bedroom house for sale,"Ajah, Lagos","₦150,000,000",4.0,4.0,5.0,4.0
4 bedroom house for sale,"Lokogoma District, Abuja","₦250,000,000",4.0,4.0,5.0,5.0
Residential land for sale,"Hutu Estate, Lugbe District, Abuja","₦5,400,000",,,,2.0
5 bedroom detached duplex for sale,"Megamound Estate, Lekki, Lagos","₦500,000,000",5.0,5.0,6.0,5.0
5 bedroom detached duplex for sale,"Isheri North, Lagos","₦190,000,000",5.0,5.0,6.0,5.0
5 bedroom flat / apartment for sale,"Olawale Dawodu, Ikoyi, Lagos","$1,500,000",5.0,6.0,6.0,8.0
4 bedroom semi-detached duplex for sale,"Anthony Maryland, Ikeja, Lagos","₦270,000,000",4.0,,5.0,
Residential land for sale,"Karshi, Abuja","₦2,500,000",,,,
Commercial land for sale,"Surulere, Lagos","₦700,000",,,,
1 bedroom block of flats for sale,"Ikeja GRA, Ikeja, Lagos","₦200,000,000",1.0,1.0,2.0,2.0
4 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦350,000,000",4.0,4.0,4.0,
3 bedroom block of flats for sale,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦250,000,000",3.0,3.0,4.0,4.0
5 bedroom detached duplex for sale,"Crown Estate, Sangotedo, Ajah, Lagos","₦170,000,000",5.0,5.0,5.0,4.0
4 bedroom semi-detached duplex for sale,"Carlton Gate Estate, Akobo, Ibadan, Oyo","₦190,000,000",4.0,4.0,5.0,
5 bedroom detached duplex for sale,"Idado, Lekki, Lagos","₦460,000,000",5.0,5.0,6.0,2.0
5 bedroom detached duplex for sale,"Idado, Lekki, Lagos","₦260,000,000",5.0,6.0,6.0,2.0
4 bedroom detached duplex for sale,"Idado, Lekki, Lagos","₦230,000,000",4.0,5.0,5.0,4.0
4 bedroom detached duplex for sale,"Olokonla, Ajah, Lagos","₦195,000,000",4.0,4.0,5.0,
4 bedroom semi-detached duplex for sale,"Ikota Gra, Ikota, Lekki, Lagos","₦155,000,000",4.0,4.0,5.0,2.0
4 bedroom semi-detached duplex for sale,"Ikota Gra, Ikota, Lekki, Lagos","₦175,000,000",4.0,4.0,5.0,2.0
4 bedroom semi-detached duplex for sale,"Gra, Ikota, Lekki, Lagos","₦175,000,000",4.0,4.0,5.0,2.0
2 bedroom flat / apartment for sale,"Ikota, Lekki, Lagos","₦63,000,000",2.0,2.0,3.0,2.0
2 bedroom block of flats for sale,"Surulere, Lagos","₦85,000,000",2.0,2.0,3.0,2.0
4 bedroom terraced duplex for sale,"(beside Lagos Business School (lbs), Ajah, Lagos","₦119,000,000",4.0,4.0,5.0,2.0
5 bedroom detached duplex for sale,"Ajah, Lagos","₦250,000,000",5.0,5.0,6.0,3.0
3 bedroom semi-detached duplex for sale,"Off Allen Avenue, Ikeja, Lagos","₦200,000,000",3.0,,4.0,
4 bedroom terraced duplex for sale,"Monastery Road, Ajah, Lagos","₦120,000,000",4.0,4.0,5.0,2.0
4 bedroom detached duplex for sale,"Chevron Tollgate, Lekki, Lagos","₦360,000,000",4.0,4.0,5.0,3.0
5 bedroom detached duplex for sale,"Megamound, Lekki, Lagos","₦600,000,000",5.0,5.0,6.0,4.0
4 bedroom semi-detached duplex for sale,"Ikeja GRA, Ikeja, Lagos","₦550,000,000",4.0,4.0,5.0,4.0
5 bedroom detached duplex for sale,"Awuse Estate, Opebi, Ikeja, Lagos","₦500,000,000",5.0,5.0,6.0,7.0
3 bedroom flat / apartment for sale,"Freedom Way, Lekki Phase 1, Lekki, Lagos","₦270,000,000",3.0,3.0,4.0,
3 bedroom block of flats for sale,"Maruwa, Lekki Phase 1, Lekki, Lagos","₦1,200,000,000",3.0,3.0,4.0,
5 bedroom detached duplex for sale,"Arcadia Grove Estate,, Osapa, Lekki, Lagos","₦800,000,000",5.0,5.0,6.0,4.0
2 bedroom flat / apartment for sale,"Ikate Elegushi, Lekki, Lagos","₦130,000,000",2.0,,,
Mixed-use land for sale,"Osborne 2, Osborne, Ikoyi, Lagos","₦1,100,000",,,,
4 bedroom semi-detached duplex for sale,"Akora Estate, Adeniyi Jones, Ikeja, Lagos","₦285,000,000",4.0,4.0,5.0,4.0
5 bedroom semi-detached duplex for sale,"Akora Estate, Adeniyi Jones, Ikeja, Lagos","₦350,000,000",5.0,5.0,6.0,4.0
6 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦550,000,000",6.0,6.0,7.0,
4 bedroom terraced duplex for sale,"Extension Road, Ikota, Lekki, Lagos","₦80,000,000",4.0,5.0,5.0,2.0
4 bedroom semi-detached duplex for sale,"GRA Phase 2, Magodo, Lagos","₦350,000,000",4.0,4.0,5.0,3.0
Residential land for sale,"Asokoro Hilltop Extension, Asokoro District, Abuja","₦25,000,000",,,,
5 bedroom semi-detached duplex for sale,"Cowrie Creek Estate, Lekki, Lagos","₦850,000,000",5.0,5.0,6.0,5.0
3 bedroom block of flats for sale,"Millennium Estate, Gbagada, Lagos","₦150,000,000",3.0,3.0,4.0,2.0
Residential land for sale,"By Pengassan Estate, Lokogoma District, Abuja","₦35,000,000",,,,
2 bedroom flat / apartment for sale,"Hill View Estate, Life Camp, Abuja","₦250,000,000",2.0,2.0,2.0,
2 bedroom detached bungalow for sale,"Laderin Housing Estate, Abeokuta South, Ogun","₦45,000,000",2.0,2.0,2.0,
2 bedroom block of flats for sale,"Ajao Estate Close To Murtala Mohammed Airport, Ikeja, Lagos","₦100,000,000",2.0,,,
Residential land for sale,"Kpeyegyi (landsjotter Estate), Kpeyegyi, Abuja","₦500,000",,,,
4 bedroom detached duplex for sale,"Ogba, Ikeja, Lagos","₦230,000,000",4.0,5.0,5.0,3.0
5 bedroom semi-detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦600,000,000",5.0,6.0,6.0,3.0
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦550,000,000",5.0,6.0,6.0,4.0
4 bedroom semi-detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦380,000,000",4.0,5.0,5.0,4.0
6 bedroom semi-detached duplex for sale,"Lekki Phase 2, Lekki, Lagos","₦250,000,000",6.0,6.0,7.0,
5 bedroom detached duplex for sale,"Osapa, Lekki, Lagos","₦450,000,000",5.0,5.0,5.0,
2 bedroom flat / apartment for sale,"Ologolo, Lekki, Lagos","₦100,000,000",2.0,2.0,2.0,2.0
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos","₦155,000,000",4.0,4.0,4.0,2.0
2 bedroom block of flats for sale,"Affordable Luxury Apartment, Ikate, Lekki, Lagos","₦85,000,000",2.0,2.0,3.0,2.0
2 bedroom flat / apartment for sale,"Ikate, Lekki, Lagos","₦180,000,000",2.0,3.0,3.0,4.0
4 bedroom terraced duplex for sale,"Ikate, Lekki, Lagos","₦400,000,000",4.0,4.0,4.0,2.0
3 bedroom semi-detached duplex for sale,"Olowora, Magodo, Lagos","₦120,000,000",3.0,3.0,5.0,2.0
4 bedroom semi-detached duplex for sale,"Chevron, Lekki, Lagos","₦185,000,000",4.0,4.0,5.0,3.0
Residential land for sale,"Surulere, Lagos","₦300,000,000",,,,
5 bedroom detached duplex for sale,"Ajah Lekk Lagos, Ajah, Lagos","₦260,000,000",5.0,5.0,6.0,5.0
3 bedroom flat / apartment for sale,"Gbagada, Lagos","₦85,000,000",3.0,4.0,4.0,3.0
5 bedroom detached duplex for sale,"Lekki, Lagos","₦350,000,000",5.0,5.0,6.0,
Residential land for sale,"Along The Expressway, Awka, Anambra","₦18,000,000",,,,
3 bedroom flat / apartment for sale,"Gbagada, Lagos","₦95,000,000",3.0,,,
Office space for sale,"Victoria Island (VI), Lagos","$75,000,000",,,,
4 bedroom semi-detached duplex for sale,"Ikeja GRA, Ikeja, Lagos","₦550,000,000",4.0,4.0,5.0,2.0
4 bedroom detached duplex for sale,"Ogba, Ikeja, Lagos","₦240,000,000",4.0,5.0,5.0,4.0
3 bedroom semi-detached duplex for sale,"Omole Phase 2, Ikeja, Lagos","₦130,000,000",3.0,3.0,4.0,2.0
3 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","₦2,200,000,000",3.0,3.0,4.0,
3 bedroom block of flats for sale,"Lekki Phase 1, Lekki, Lagos","₦375,000,000",3.0,3.0,4.0,
5 bedroom detached duplex for sale,"Omole Phase 1, Ikeja, Lagos","₦550,000,000",5.0,5.0,6.0,3.0
3 bedroom semi-detached duplex for sale,"News Engineering Dawaki, Dawaki, Gwarinpa, Abuja","₦115,000,000",3.0,4.0,4.0,
5 bedroom detached duplex for sale,"Megamound Estate, Ikota, Lekki, Lagos","₦400,000,000",5.0,5.0,6.0,
4 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦250,000,000",4.0,4.0,5.0,
4 bedroom terraced duplex for sale,"Ikate Lekki Lagos, Ikate, Lekki, Lagos","₦300,000,000",4.0,5.0,5.0,3.0
Residential land for sale,"Magodo Brooks Estate, GRA Phase 2, Magodo, Lagos","₦850,000,000",,,,22.0
3 bedroom block of flats for sale,"Kofo Abayomi Street, Victoria Island (VI), Lagos","₦4,800,000,000",3.0,,,
5 bedroom detached duplex for sale,"Megamound Estate, Lekki, Lagos","₦500,000,000",5.0,5.0,6.0,
4 bedroom semi-detached duplex for sale,"Ajah, Lagos","₦145,000,000",4.0,4.0,5.0,
3 bedroom semi-detached duplex for sale,"Chevron Drive, Lekki, Lagos","₦140,000,000",3.0,3.0,4.0,3.0
4 bedroom terraced duplex for sale,"Tastefully Finished Luxury Home, Ikoyi, Lagos","₦350,000,000",4.0,4.0,5.0,3.0
5 bedroom detached duplex for sale,"Ajah Lekk Lagos, Ajah, Lagos","₦280,000,000",5.0,5.0,6.0,4.0
4 bedroom terraced duplex for sale,"Victoria Island (VI), Lagos","₦1,000,000,000",4.0,4.0,5.0,
3 bedroom flat / apartment for sale,"Gbagada, Lagos","₦140,000,000",3.0,4.0,4.0,3.0
3 bedroom block of flats for sale,"Fully Serviced Luxury Apartment, Chevron, Lekki, Lagos","₦135,000,000",3.0,3.0,4.0,2.0
Mixed-use land for sale,"Adekunle Fajuyi, Ikeja GRA, Ikeja, Lagos","₦3,500,000,000",,,,
2 bedroom flat / apartment for sale,"Opebi, Ikeja, Lagos","₦190,000,000",2.0,2.0,3.0,2.0
4 bedroom terraced duplex for sale,"Allen, Ikeja, Lagos","₦200,000,000",4.0,4.0,5.0,2.0
5 bedroom detached duplex for sale,"T F Kuboye Rd Pinnacle Petrol, Lekki Phase 1, Lekki, Lagos","₦500,000,000",5.0,6.0,6.0,10.0
5 bedroom semi-detached duplex for sale,"Osapa, Lekki, Lagos","₦600,000,000",5.0,5.0,6.0,5.0
Land for sale,"GRA, Ogudu, Lagos","₦220,000,000",,,,
5 bedroom detached duplex for sale,"Adeniyi Jones, Ikeja, Lagos","₦370,000,000",5.0,5.0,6.0,3.0
3 bedroom flat / apartment for sale,"Mart K Street, By Mart K Bus-stop, Off Isawo Road, Asolo, Agric, Ikoro, Agric, Ikorodu, Lagos","₦80,000,000",3.0,2.0,3.0,
3 bedroom flat / apartment for sale,"Off Gerrard Road, Old Ikoyi, Ikoyi, Lagos","₦650,000,000",3.0,3.0,4.0,
Mixed-use land for sale,"Off Ogombo Road, Ogombo, Ajah, Lagos","₦62,000,000",,,,
2 bedroom block of flats for sale,"Ikate, Lekki, Lagos","₦120,000,000",2.0,2.0,2.0,2.0
3 bedroom flat / apartment for sale,"Ikate Lekki Lagos, Ikate, Lekki, Lagos","₦450,000,000",3.0,4.0,4.0,5.0
Mixed-use land for sale,"Facing Epe Expressway Beside Alaro City, Epe, Lagos","₦20,000,000",,,,
5 bedroom flat / apartment for sale,"Saratu Ijaoba Street, Of Lasisi Ijaoba, Ilupeju Area, Ijede, Lagos","₦75,000,000",5.0,4.0,3.0,
3 bedroom flat / apartment for sale,"Ikoyi, Lagos","$550,000",3.0,3.0,4.0,
4 bedroom terraced duplex for sale,"Agege, Lagos","₦200,000,000",4.0,4.0,5.0,2.0
3 bedroom block of flats for sale,"Yaba, Lagos","₦500,000,000",3.0,3.0,5.0,
3 bedroom semi-detached duplex for sale,"Ikoyi, Lagos","₦900,000,000",3.0,3.0,5.0,
4 bedroom semi-detached duplex for sale,"Ajah, Lagos","₦125,000,000",4.0,4.0,5.0,6.0
4 bedroom semi-detached duplex for sale,"Chevron Drive Alternative, Lekki, Lagos","₦220,000,000",4.0,4.0,5.0,
2 bedroom flat / apartment for sale,"Ogba, Ikeja, Lagos","₦100,000,000",2.0,2.0,3.0,2.0
Residential land for sale,"Lekki Foreshore Estate, Lekki Phase 1, Lekki, Lagos","₦550,000",,,,
Residential land for sale,"Mobil, Emerald Estate, Lekki Phase 2, Lekki, Lagos","₦200,000,000",,,,
Residential land for sale,"Cowrie Creek Nlng Estate, Ikate Elegushi, Lekki, Lagos","₦620,000,000",,,,
7 bedroom detached duplex for sale,"VGC, Lekki, Lagos","₦650,000,000",7.0,7.0,7.0,7.0
Residential land for sale,"Diamond Estate, Monastery Road, Sangotedo, Ajah, Lagos","₦50,000,000",,,,
Commercial land for sale,"Rain Oil Road Abijo Gra, Abijo, Lekki, Lagos","₦350,000,000",,,,
3 bedroom detached bungalow for sale,"Lekki Avana Bungalows And Resort, Idera Scheme, Eleko, Ibeju Lekki, Lagos","₦65,000,000",3.0,3.0,3.0,
5 bedroom detached duplex for sale,"Megamound Estate, Ikota, Lekki, Lagos","₦430,000,000",5.0,5.0,6.0,4.0
Residential land for sale,"Freedom Way, Orange Island, Lekki, Lagos","₦320,000,000",,,,
2 bedroom flat / apartment for sale,"Ikate Lekki Lagos, Ikate, Lekki, Lagos","₦145,000,000",2.0,3.0,3.0,5.0
7 bedroom detached duplex for sale,"Diplomatic Zone, Asokoro District, Abuja","₦4,500,000,000",7.0,8.0,8.0,15.0
2 bedroom block of flats for sale,"Diplomatic Zone, Asokoro District, Abuja","₦650,000,000",2.0,3.0,3.0,12.0
Mixed-use land for sale,"Before Eleko Junction, Ibeju Lekki, Lagos","₦40,000,000",,,,
Mixed-use land for sale,"Lekki, Lagos","₦450,000",,,,
4 bedroom terraced duplex for sale,"Maryland, Lagos","₦200,000,000",4.0,4.0,5.0,2.0
Mixed-use land for sale,"Surulere, Lagos","₦230,000,000",,,,
Commercial land for sale,"Jabi Daikibiu ( By Code Of Conduct), Jabi, Abuja","₦1,200,000,000",,,,
Shop for sale,"Goldie Street, Calabar, Cross River","₦6,000,000",,,,
5 bedroom detached duplex for sale,"Lekki, Lagos","₦400,000,000",5.0,6.0,7.0,
4 bedroom detached bungalow for sale,"Secured And Serene Area, Woji, Port Harcourt, Rivers","₦75,000,000",4.0,4.0,5.0,4.0
Residential land for sale,"Alausa, Ikeja, Lagos","₦500,000,000",,,,
Residential land for sale,"Ogba, Ikeja, Lagos","₦140,000,000",,,,
Residential land for sale,"Oxford Heights Estate, Awoyaya, Ibeju Lekki, Lagos","₦6,500,000",,,,4.0
3 bedroom block of flats for sale,"Seaside Estate, Badore, Ajah, Lagos","₦180,000,000",3.0,,,
6 bedroom detached duplex for sale,"Off Bourdillon, Old Ikoyi, Ikoyi, Lagos","$1,700,000",6.0,6.0,5.0,
Residential land for sale,"Zion C, Nicon Town, Nicon Town, Lekki, Lagos","₦800,000,000",,,,
3 bedroom flat / apartment for sale,"Liberty Avenue, Maitama 2, Maitama District, Abuja","₦50,000,000",3.0,2.0,3.0,35.0
Residential land for sale,"Oxford Heights Estate Face 2 Ibusa, Asaba, Delta","₦3,500,000",,,,4.0
Residential land for sale,"Oxford Heights Estate Phase 2, Asaba, Delta","₦5,000,000",,,,
2 bedroom house for sale,"Sunshine Estate, Off 69 Road, Gwarinpa, Abuja","₦85,000,000",2.0,2.0,3.0,
4 bedroom house for sale,"Victoria Island (VI), Lagos","₦500,000,000",4.0,4.0,5.0,
2 bedroom block of flats for sale,"Maryland, Lagos","₦100,000,000",2.0,2.0,,
Land for sale,"Ilado, Omu Epe, Epe, Lagos","₦2,300,000",,,,
Residential land for sale,"Off Awolowo Road, Ikoyi, Lagos","₦3,500,000,000",,,,
3 bedroom flat / apartment for sale,"Maryland, Lagos","₦300,000,000",3.0,3.0,4.0,2.0
Residential land for sale,"Ilado , Off Omu Epe - Ikorodu Road, Odogbolu, Ogun","₦2,300,000",,,,
2 bedroom flat / apartment for sale,"By River Park Estate, Lugbe District, Abuja","₦60,000,000",2.0,2.0,3.0,
Mixed-use land for sale,"Ado Odo Off Sokoto Road, Sango Ota, Ogun","₦2,500,000",,,,
Mixed-use land for sale,"Epe, Lagos","₦2,300,000",,,,
5 bedroom detached duplex for sale,"Ikeja GRA, Ikeja, Lagos","₦780,000,000",5.0,5.0,6.0,3.0
4 bedroom detached duplex for sale,"Allen, Ikeja, Lagos","₦280,000,000",4.0,4.0,5.0,2.0
4 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦400,000,000",4.0,4.0,5.0,
6 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦950,000,000",6.0,6.0,8.0,6.0
4 bedroom terraced duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦400,000,000",4.0,,,
4 bedroom detached duplex for sale,"Northern Foreshore Estate, Chevron Drive, Agungi, Lekki, Lagos","₦440,000,000",4.0,3.0,4.0,7.0
4 bedroom semi-detached duplex for sale,"Reside In Serenity 4 Bedroom Family Home Within A Secured Estate, Ikate Elegushi, Lekki, Lagos","₦315,000,000",4.0,4.0,5.0,3.0
Residential land for sale,"Oniru, Victoria Island (VI), Lagos","₦1,000,000",,,,
4 bedroom terraced duplex for sale,"Fully Serviced Luxury Family Home, Oniru, Victoria Island (VI), Lagos","₦295,000,000",4.0,4.0,5.0,2.0
5 bedroom detached duplex for sale,"Banana Island, Ikoyi, Lagos","₦7,500,000,000",5.0,5.0,7.0,8.0
5 bedroom detached duplex for sale,"VGC, Lekki, Lagos","₦900,000,000",5.0,5.0,6.0,5.0
4 bedroom semi-detached duplex for sale,"Vgc Extension, VGC, Lekki, Lagos","₦250,000,000",4.0,4.0,5.0,
4 bedroom semi-detached duplex for sale,"VGC, Lekki, Lagos","₦270,000,000",4.0,,,
6 bedroom detached duplex for sale,"Akowonjo, Alimosho, Lagos","₦600,000,000",6.0,6.0,8.0,10.0
4 bedroom house for sale,"Old Ikoyi, Ikoyi, Lagos","$1,200,000",4.0,4.0,5.0,
5 bedroom detached duplex for sale,"GRA Phase 2, Magodo, Lagos","₦650,000,000",5.0,5.0,6.0,3.0
3 bedroom detached bungalow for sale,"Eleko, Lekki, Lagos","₦65,000,000",3.0,3.0,3.0,
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos","₦180,000,000",4.0,4.0,5.0,4.0
Residential land for sale,"Chevron, Lekki Phase1, Lekki, Lagos","₦90,000,000",,,,
4 bedroom terraced duplex for sale,"Lekki, Ajah, Lagos","₦100,000,000",4.0,4.0,5.0,3.0
4 bedroom semi-detached duplex for sale,"Ikeja GRA, Ikeja, Lagos","₦650,000,000",4.0,4.0,5.0,4.0
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦900,000,000",5.0,5.0,6.0,8.0
4 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","₦650,000,000",4.0,4.0,5.0,3.0
4 bedroom house for sale,"Orchid, Lekki Phase 2, Lekki, Lagos","₦130,000,000",4.0,4.0,5.0,
3 bedroom flat / apartment for sale,"Ikate Elegushi, Lekki, Lagos","₦250,000,000",3.0,3.0,4.0,2.0
3 bedroom flat / apartment for sale,"Banana Island, Ikoyi, Lagos","₦1,000,000,000",3.0,3.0,4.0,2.0
3 bedroom flat / apartment for sale,"Banana Island, Ikoyi, Lagos","₦840,000,000",3.0,3.0,4.0,2.0
Commercial land for sale,"Oribanwa Ibeju-lekki, Awoyaya, Ibeju Lekki, Lagos","₦300,000,000",,,,
6 bedroom flat / apartment for sale,"Old Ikoyi, Ikoyi, Lagos","₦3,500,000,000",6.0,6.0,7.0,4.0
3 bedroom flat / apartment for sale,"Old Ikoyi, Ikoyi, Lagos","₦1,200,000,000",3.0,3.0,4.0,2.0
4 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦260,000,000",4.0,4.0,5.0,5.0
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos","₦135,000,000",4.0,5.0,5.0,4.0
3 bedroom flat / apartment for sale,"Eko Atlantic City, Lagos","₦2,100,000,000",3.0,3.0,4.0,2.0
Mixed-use land for sale,"Victoria Island (VI), Lagos","₦1,800,000",,,,
4 bedroom semi-detached duplex for sale,"Gbagada, Lagos","₦280,000,000",4.0,4.0,5.0,2.0
