type of house,location,price,bedrooms,bathrooms,toilets,parking_space
8 bedroom semi-detached duplex for sale,"Ado Road, Ajah, Lagos","₦120,000,000",8.0,6.0,6.0,
2 bedroom detached duplex for sale,"Sangotedo, Sangotedo, Ajah, Lagos","₦60,000,000",2.0,2.0,3.0,2.0
Residential land for sale,"Luxury Plots Of Land In A Secured Estate With Good Title, Badore, Ajah, Lagos","₦60,000,000",,,,
3 bedroom detached bungalow for sale,"Idera Scheme, Eleko, Ibeju Lekki, Lagos","₦58,000,000",3.0,,,
5 bedroom detached duplex for sale,"Trans Ekulu, Enugu, Enugu","₦140,000,000",5.0,5.0,6.0,
3 bedroom block of flats for sale,"Ga.e Village, Games Village, Kaura, Abuja","₦130,000,000",3.0,3.0,4.0,
3 bedroom flat / apartment for sale,"Victoria Island (VI), Lagos","₦390,000,000",3.0,3.0,4.0,
4 bedroom terraced duplex for sale,"Abijo Gra, Lekki, Lagos","₦110,000,000",4.0,4.0,5.0,2.0
5 bedroom detached duplex for sale,"Ologolo, Lekki, Lagos","₦280,000,000",5.0,5.0,6.0,
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos","₦420,000,000",5.0,5.0,6.0,3.0
5 bedroom detached duplex for sale,"Lekki, Lagos","₦390,000,000",5.0,,6.0,
2 bedroom flat / apartment for sale,"Ikate, Lekki, Lagos","₦150,000,000",2.0,2.0,3.0,
Land for sale,"Ikota, Lekki, Lagos","₦170,000,000",,,,
4 bedroom terraced duplex for sale,"Ikota, Lekki, Lagos","₦130,000,000",4.0,,,
5 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦420,000,000",5.0,,,
4 bedroom semi-detached duplex for sale,"Ikate Elegushi, Lekki, Lagos","₦280,000,000",4.0,,,
5 bedroom house for sale,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦700,000,000",5.0,6.0,6.0,
4 bedroom flat / apartment for sale,"Glover Road, Ikoyi, Lagos","₦1,800,000,000",4.0,5.0,5.0,2.0
3 bedroom flat / apartment for sale,"Ikoyi, Lagos","₦450,000,000",3.0,3.0,4.0,
3 bedroom house for sale,"Ikoyi, Lagos","₦1,200,000,000",3.0,3.0,4.0,
3 bedroom flat / apartment for sale,"Off Royal Palm Drive, Osborne Phase Ii, Osborne, Ikoyi, Lagos","₦480,000,000",3.0,4.0,4.0,
5 bedroom detached duplex for sale,"3rd Avenue, Banana Island, Ikoyi, Lagos","$4,200,000",5.0,5.0,6.0,
4 bedroom flat / apartment for sale,"Banana Island, Ikoyi, Lagos","$1,500,000",4.0,3.0,4.0,
4 bedroom detached bungalow for sale,"Ladoke Akintola Street, Ikeja GRA, Ikeja, Lagos","₦1,200,000,000",4.0,5.0,5.0,12.0
Mixed-use land for sale,"Off Etal Avenue, Off Oregun Road, Oregun, Ikeja, Lagos","₦300,000,000",,,,
Land for sale,"Abaren Road, Mowe Town, Ogun","₦30,000,000",,,,
2 bedroom flat / apartment for sale,"Ologolo, Lekki, Lagos","₦112,000,000",2.0,2.0,3.0,
2 bedroom flat / apartment for sale,"Ologolo, Lekki, Lagos","₦95,000,000",2.0,2.0,3.0,
4 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦130,000,000",4.0,4.0,5.0,3.0
5 bedroom detached duplex for sale,"Idado, Idado, Lekki, Lagos","₦550,000,000",5.0,5.0,6.0,3.0
4 bedroom semi-detached duplex for sale,"Lagoon District, Off Freedom Way, Lekki Phase 1, Lekki, Lagos","₦480,000,000",4.0,4.0,5.0,4.0
4 bedroom terraced duplex for sale,"Ikoyi, Lagos","$1,200,000",4.0,4.0,5.0,
4 bedroom flat / apartment for sale,"Ikoyi, Lagos","₦1,000,000,000",4.0,4.0,5.0,
Land for sale,"Ikoyi, Lagos","₦1,600,000",,,,
Land for sale,"Ikoyi, Lagos","$25,000,000",,,,
Land for sale,"Ikoyi, Lagos","₦3,800,000,000",,,,
3 bedroom flat / apartment for sale,"Ikoyi, Lagos","₦600,000,000",3.0,3.0,4.0,
2 bedroom flat / apartment for sale,"Ikoyi, Lagos","$1,700,000",2.0,2.0,3.0,
4 bedroom terraced duplex for sale,"Ikoyi, Lagos","$750,000",4.0,4.0,5.0,
2 bedroom flat / apartment for sale,"Glover Road, Old Ikoyi, Ikoyi, Lagos","₦800,000,000",2.0,3.0,3.0,
Land for sale,"Osborne, Ikoyi, Lagos","₦1,400,000",,,,
Land for sale,"Osborne, Ikoyi, Lagos","₦1,500,000",,,,
4 bedroom terraced duplex for sale,"Parkview, Ikoyi, Lagos","₦550,000,000",4.0,4.0,5.0,
3 bedroom terraced duplex for sale,"Ajah, Lagos","₦65,000,000",3.0,3.0,4.0,2.0
4 bedroom detached duplex for sale,"Ajah, Ajah, Lagos","₦130,000,000",4.0,4.0,5.0,
12 bedroom house for sale,"Obe, Sapele Road., Benin, Oredo, Edo","₦65,000,000",12.0,,18.0,
4 bedroom semi-detached duplex for sale,"Victoria Island (VI), Lagos","₦700,000,000",4.0,4.0,5.0,
2 bedroom block of flats for sale,"Orchid, Lekki, Lagos","₦63,000,000",2.0,2.0,3.0,2.0
Residential land for sale,"In Serene High Profile Estate In Orchid Lekki, Lekki Phase 1, Lekki, Lagos","₦500,000,000",,,,2000.0
Land for sale,"Ikoyi, Lagos","₦1,700,000",,,,
Land for sale,"Ikoyi, Lagos","₦2,000,000",,,,
4 bedroom semi-detached duplex for sale,"Ikoyi, Lagos","₦900,000,000",4.0,4.0,5.0,
Land for sale,"Ikoyi, Lagos","₦1,700,000",,,,
4 bedroom house for sale,"Ikoyi, Lagos","₦1,200,000,000",4.0,4.0,5.0,
3 bedroom flat / apartment for sale,"Ikoyi, Lagos","$1,100,000",3.0,3.0,4.0,
4 bedroom terraced duplex for sale,"Ikoyi, Lagos","₦1,200,000,000",4.0,4.0,5.0,
Commercial property for sale,"Ikoyi, Lagos","₦650,000,000",,,,
3 bedroom flat / apartment for sale,"Ikoyi, Lagos","$600,000",3.0,3.0,4.0,
3 bedroom flat / apartment for sale,"Ikoyi, Lagos","$850,000",3.0,2.0,3.0,
6 bedroom detached duplex for sale,"Ikoyi, Lagos","$2,000,000",6.0,6.0,7.0,
Land for sale,"Old Ikoyi, Ikoyi, Lagos","₦2,200,000",,,,
Residential land for sale,"Old Ikoyi, Ikoyi, Lagos","₦2,500,000",,,,
3 bedroom flat / apartment for sale,"Osborne, Ikoyi, Lagos","₦270,000,000",3.0,3.0,4.0,
5 bedroom flat / apartment for sale,"Banana Island, Ikoyi, Lagos","$1,500,000",5.0,5.0,6.0,
Commercial land for sale,"Ikeja GRA, Ikeja, Lagos","₦5,800,000,000",,,,
3 bedroom flat / apartment for sale,"Gbagada, Lagos","₦150,000,000",3.0,3.0,4.0,
Residential land for sale,"In Secured Ocean Bay Estate, Orchid, Elengaza Bus Stop Lekki, Lekki Phase 1, Lekki, Lagos","₦300,000,000",,,,1819.0
Commercial property for sale,"Lekki Phase 1, Lekki, Lagos","₦720,000,000",,,,
4 bedroom semi-detached duplex for sale,"Osapa, Lekki, Lagos","₦300,000,000",4.0,4.0,5.0,
2 bedroom block of flats for sale,"Ogudu Lagos Close To Ogudu Gra, GRA, Ogudu, Lagos","₦280,000,000",2.0,3.0,3.0,
6 bedroom house for sale,"Okabere, Off Sapele Road, Benin, Oredo, Edo","₦40,000,000",6.0,,,
4 bedroom semi-detached duplex for sale,"Ikate, Lekki, Lagos","₦300,000,000",4.0,4.0,5.0,
Commercial land for sale,"Lekki - Epe Expressway, Bolorunpelu, Ibeju Lekki, Lagos","₦31,000,000",,,,
5 bedroom detached duplex for sale,"Lekki, Lagos","₦310,000,000",5.0,5.0,6.0,
5 bedroom terraced duplex for sale,"Opebi, Ikeja, Ikeja, Lagos","₦28,000,000",5.0,7.0,7.0,3.0
5 bedroom detached duplex for sale,"Ajah, Ajah, Lagos","₦250,000,000",5.0,5.0,6.0,3.0
5 bedroom detached duplex for sale,"Chevron, Lekki, Lagos","₦690,000,000",5.0,5.0,6.0,
4 bedroom flat / apartment for sale,"Surulere, Lagos","₦200,000,000",4.0,,5.0,
4 bedroom semi-detached duplex for sale,"Nice Location Close To Ogudu Gra Lagos, Ogudu, Lagos","₦250,000,000",4.0,5.0,5.0,
2 bedroom flat / apartment for sale,"Victoria Island (VI), Lagos","₦170,000,000",2.0,2.0,3.0,
Residential land for sale,"Located At Igbodu Isiwo Clos To Augustine University, Epe, Lagos","₦5,000,000",,,,
5 bedroom detached duplex for sale,"Lekki, Lagos","₦430,000,000",5.0,5.0,6.0,
4 bedroom terraced duplex for sale,"Jahi, Jahi, Abuja","₦300,000,000",4.0,4.0,5.0,2.0
3 bedroom flat / apartment for sale,"Victoria Island (VI), Lagos","₦250,000,000",3.0,3.0,4.0,
5 bedroom commercial property for sale,"Ikoyi, Lagos","₦900,000,000",5.0,5.0,6.0,
Land for sale,"Ikoyi, Lagos","₦1,050,000,000",,,,
4 bedroom semi-detached duplex for sale,"Lekki Phase 1, Lekki Phase 1, Lekki, Lagos","₦500,000,000",4.0,4.0,5.0,3.0
4 bedroom flat / apartment for sale,"Ikate Elegushi, Lekki, Lagos","₦295,000,000",4.0,5.0,5.0,3.0
5 bedroom detached duplex for sale,"Omole Phase 1, Omole Phase 1, Ikeja, Lagos","₦20,000,000",5.0,5.0,6.0,8.0
Residential land for sale,"Diplomatic Zone, Katampe Extension, Katampe, Abuja","₦1,000,000,000",,,,
Residential land for sale,"Old Ikoyi, Ikoyi, Lagos","₦2,500,000",,,,
4 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","₦250,000,000",4.0,4.0,5.0,
5 bedroom house for sale,"Ikate, Lekki, Lagos","₦500,000,000",5.0,5.0,6.0,4.0
6 bedroom detached duplex for sale,"Maitama District, Abuja","₦2,500,000,000",6.0,6.0,7.0,6.0
5 bedroom detached duplex for sale,"Galadimawa, Abuja","₦410,000,000",5.0,5.0,6.0,6.0
Land for sale,"Functioning Shop At So Easy Bus Stop Ishefun Ayobo, Ayobo, Lagos","₦27,000,000",,,,
4 bedroom semi-detached duplex for sale,"Ikate, Lekki, Lagos","₦320,000,000",4.0,4.0,4.0,
