price,bedrooms,bathrooms,toilets,parking_space,state,town,price_log,house_category,price_per_bedroom,total_faclities
350000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,19.673443715304877,standard house,175000000.0,9.0
350000000.0,3.0,3.0,4.0,5.0,Lagos,Lekki,19.673443715304877,Apartment Flat,116666666.66666667,15.0
125000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.643824303266577,Apartment Flat,62500000.0,9.0
385000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,19.76875389484946,Detached Duplex,77000000.0,20.0
380000000.0,4.0,4.0,5.0,5.0,Lagos,Lekki,19.755681813316283,Detached Duplex,95000000.0,18.0
300000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,19.519293035953808,Detached Duplex,60000000.0,20.0
230000000.0,2.0,2.0,2.0,2.0,Lagos,Lekki,19.253589871235295,Apartment Flat,115000000.0,8.0
165000000.0,4.0,4.0,5.0,4.0,Lagos,Lekki,18.92145603792546,Detached Duplex,41250000.0,17.0
160000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.8906843794481,Detached Duplex,40000000.0,16.0
135000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.72078534381011,Terraced Duplex,33750000.0,16.0
105000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.46947091764561,Terraced Duplex,26250000.0,16.0
180000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,19.00846741441004,Detached Duplex,36000000.0,20.0
75000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.132998684833918,Apartment Flat,37500000.0,9.0
75000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.132998684833918,Apartment Flat,37500000.0,9.0
370000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,19.729013566305248,Detached Duplex,74000000.0,20.0
240000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,19.29614948547293,Detached Duplex,48000000.0,20.0
220000000.0,4.0,4.0,5.0,2.0,Lagos,Lekki,19.20913810886209,Detached Duplex,55000000.0,15.0
80000000.0,4.0,4.0,5.0,4.0,Lagos,Lekki,18.197537205138154,Terraced Duplex,20000000.0,17.0
280000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,19.450300164704952,Detached Duplex,56000000.0,20.0
120000000.0,4.0,4.0,4.0,2.0,Lagos,Lekki,18.603002309079653,Terraced Duplex,30000000.0,14.0
75000000.0,2.0,2.0,3.0,4.0,Lagos,Lekki,18.132998684833918,Apartment Flat,37500000.0,11.0
120000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.603002309079653,Terraced Duplex,30000000.0,16.0
75000000.0,2.0,2.0,3.0,3.0,Lagos,Lekki,18.132998684833918,standard house,37500000.0,10.0
160000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.8906843794481,Detached Duplex,40000000.0,16.0
300000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,19.519293035953808,Detached Duplex,60000000.0,20.0
150000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.826145858727198,Detached Duplex,37500000.0,16.0
380000000.0,4.0,4.0,5.0,4.0,Lagos,Lekki,19.755681813316283,Detached Duplex,95000000.0,17.0
200000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,19.11382792951231,Detached Duplex,50000000.0,16.0
390000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,19.781657299652068,Detached Duplex,78000000.0,20.0
130000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,18.683045016112164,Terraced Duplex,43333333.333333336,12.0
130000000.0,4.0,4.0,5.0,2.0,Lagos,Lekki,18.683045016112164,standard house,32500000.0,15.0
350000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,19.673443715304877,Apartment Flat,116666666.66666667,12.0
33000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,17.312018149733785,Detached Duplex,6600000.0,20.0
250000000.0,4.0,4.0,5.0,6.0,Lagos,Lekki,19.33697147982652,Detached Duplex,62500000.0,19.0
180000000.0,4.0,4.0,5.0,4.0,Lagos,Lekki,19.00846741441004,Detached Duplex,45000000.0,17.0
120000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.603002309079653,Terraced Duplex,30000000.0,16.0
310000000.0,4.0,4.0,5.0,5.0,Lagos,Lekki,19.552082858669273,Detached Duplex,77500000.0,18.0
360000000.0,4.0,4.0,5.0,2.0,Lagos,Lekki,19.701614592192207,Terraced Duplex,90000000.0,15.0
86000000.0,2.0,2.0,3.0,1.0,Lagos,Lekki,18.26985786584569,Apartment Flat,43000000.0,8.0
128000000.0,4.0,4.0,5.0,6.0,Lagos,Lekki,18.667540829696392,Detached Duplex,32000000.0,19.0
350000000.0,5.0,5.0,6.0,6.0,Lagos,Lekki,19.673443715304877,Detached Duplex,70000000.0,22.0
350000000.0,4.0,4.0,5.0,6.0,Lagos,Lekki,19.673443715304877,Detached Duplex,87500000.0,19.0
90000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.31532023940565,Terraced Duplex,22500000.0,16.0
180000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,19.00846741441004,Terraced Duplex,45000000.0,16.0
350000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,19.673443715304877,standard house,70000000.0,20.0
290000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,19.48539148439307,Detached Duplex,72500000.0,16.0
160000000.0,4.0,4.0,5.0,2.0,Lagos,Lekki,18.8906843794481,Terraced Duplex,40000000.0,15.0
270000000.0,4.0,4.0,5.0,6.0,Lagos,Lekki,19.413932520666354,Detached Duplex,67500000.0,19.0
350000000.0,4.0,4.0,5.0,5.0,Lagos,Lekki,19.673443715304877,Detached Duplex,87500000.0,18.0
160000000.0,5.0,5.0,6.0,5.0,Lagos,Lekki,18.8906843794481,Detached Duplex,32000000.0,21.0
80000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.197537205138154,Apartment Flat,40000000.0,9.0
120000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.603002309079653,Apartment Flat,60000000.0,9.0
158000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,18.878105597320356,Apartment Flat,52666666.666666664,12.0
115000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.560442695023177,Terraced Duplex,28750000.0,16.0
155000000.0,4.0,4.0,5.0,10.0,Lagos,Lekki,18.858935681335133,Detached Duplex,38750000.0,23.0
158000000.0,4.0,4.0,4.0,3.0,Lagos,Lekki,18.878105597320356,Detached Bungalow,39500000.0,15.0
350000000.0,4.0,4.0,5.0,6.0,Lagos,Lekki,19.673443715304877,Detached Duplex,87500000.0,19.0
255000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,19.35677410704427,Detached Duplex,63750000.0,16.0
180000000.0,4.0,4.0,5.0,2.0,Lagos,Lekki,19.00846741441004,Terraced Duplex,45000000.0,15.0
350000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,19.673443715304877,Apartment Flat,116666666.66666667,12.0
140000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.757152987716434,Detached Duplex,35000000.0,16.0
180000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,19.00846741441004,Apartment Flat,90000000.0,9.0
130000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.683045016112164,Detached Duplex,32500000.0,16.0
350000000.0,4.0,4.0,6.0,4.0,Lagos,Lekki,19.673443715304877,standard house,87500000.0,18.0
260000000.0,4.0,5.0,5.0,4.0,Lagos,Lekki,19.376192192825954,Detached Duplex,65000000.0,18.0
85000000.0,3.0,4.0,4.0,3.0,Lagos,Lekki,18.258161826219297,Block of Flats,28333333.333333332,14.0
120000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,18.603002309079653,standard house,40000000.0,12.0
220000000.0,2.0,2.0,3.0,3.0,Lagos,Lekki,19.20913810886209,standard house,110000000.0,10.0
290000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,19.48539148439307,standard house,96666666.66666667,12.0
70000000.0,2.0,3.0,3.0,1.0,Lagos,Lekki,18.064005814299346,Block of Flats,35000000.0,9.0
85000000.0,2.0,2.0,3.0,2.0,Lagos,Lekki,18.258161826219297,Apartment Flat,42500000.0,9.0
250000000.0,5.0,5.0,6.0,3.0,Lagos,Lekki,19.33697147982652,Detached Duplex,50000000.0,19.0
95000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.36938746009113,Terraced Duplex,23750000.0,16.0
90000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,18.31532023940565,Terraced Duplex,30000000.0,12.0
200000000.0,5.0,5.0,6.0,4.0,Lagos,Lekki,19.11382792951231,Detached Duplex,40000000.0,20.0
170000000.0,4.0,4.0,4.0,3.0,Lagos,Lekki,18.951309000896888,Terraced Duplex,42500000.0,15.0
200000000.0,4.0,4.0,5.0,4.0,Lagos,Lekki,19.11382792951231,Detached Duplex,50000000.0,17.0
76000000.0,3.0,3.0,4.0,2.0,Lagos,Lekki,18.1462439114085,Terraced Duplex,25333333.333333332,12.0
180000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,19.00846741441004,Terraced Duplex,45000000.0,16.0
180000000.0,4.0,4.0,5.0,4.0,Lagos,Lekki,19.00846741441004,Detached Duplex,45000000.0,17.0
150000000.0,4.0,4.0,5.0,3.0,Lagos,Lekki,18.826145858727198,Detached Duplex,37500000.0,16.0
100000000.0,3.0,3.0,4.0,3.0,Lagos,Lekki,18.420680753952364,Terraced Duplex,33333333.333333332,13.0
